,SurfArea,Capacity,CatchArea,DamHt,DamLen,Depth,AvgRelease,DOR,Elev
367,1.6752256529721035,4.507557357121091,6.052089168924417,3.970291913552122,6.363028103540465,2.833213344056216,8.319717386850606,4.249922794040544,7.114769448366463
368,2.6636105596700363,5.100475998096045,7.293017679772782,2.833213344056216,4.9344739331306915,2.4336133554004498,9.175541866433488,3.9871304779149512,7.602401335665818
372,1.1869283697166775,3.4372078191851885,6.699500340161678,3.2188758248682006,6.361302477572996,2.2512917986064953,8.680162019694377,2.8213788864092133,7.05617528410041
373,3.2471911358482473,6.61472560020376,8.270781013162674,4.672828834461906,6.361302477572996,3.367295829986474,8.980927207648378,5.6957503029589365,7.401231264413015
374,3.3708412616472563,5.056245805348308,7.1592919047975645,3.367295829986474,6.375024819828097,1.6863989535702288,9.562615651570228,3.5553480614894135,7.561121589530238
378,0.06765864847381486,2.928523523860541,2.0794415416798357,3.58351893845611,6.363028103540465,2.8622008809294686,4.59511985013459,6.395261598115449,7.695757990554761
382,0.8787965274465745,3.6109179126442243,7.257002707092073,3.6109179126442243,6.366470447731438,2.7343675094195836,8.74623928838306,2.928523523860541,6.637258031284457
384,4.666444008792661,6.9817489588904635,7.5822291942764615,3.044522437723423,7.313220387090301,2.312535423847214,10.069764412161227,4.973971309724664,7.630461261783627
385,-0.4246479275249383,3.054001181677967,5.771441123130016,4.1588830833596715,6.361302477572996,3.4781584227982836,6.835184586147301,4.280824129164719,7.575584651557793
386,3.7028316677319406,6.782078670894135,10.201701469897316,4.844187086458591,6.363028103540465,3.077312260546414,10.379970147879572,4.463606621666305,6.695798917058491
390,1.383289852099592,4.598145571051127,7.4073177104694174,4.343805421853684,6.363028103540465,3.214867803470662,8.960596138864794,3.6988297849671046,7.348587530927593
391,1.7514581724545293,5.9367443349077496,8.846065190692881,4.6443908991413725,6.569481420414296,4.185098925490565,10.29667762976868,3.7013019741124933,6.813444599510896
393,4.311563933516342,6.519589667952034,9.90193635004339,4.204692619390966,6.363028103540465,2.2082744135228043,10.944082234834664,3.6375861597263857,7.271703706887368
